year;Index of DH Conferences;Digital Humanities Quarterly;Literary and Linguistic Computing / Digital Scholarship in the Humanities;Computers and the Humanities / Language Resources and Evaluation;Journal of the Text Encoding Initiative;Journal of Cultural Analytics;Digital Classics Online;Digital Medievalist;Total
1964;28;0;0;0;0;0;0;0;28
1966;0;0;0;16;0;0;0;0;16
1967;0;0;0;50;0;0;0;0;50
1968;9;0;0;44;0;0;0;0;53
1969;15;0;0;57;0;0;0;0;72
1970;26;0;0;52;0;0;0;0;78
1971;0;0;0;62;0;0;0;0;62
1972;33;0;0;61;0;0;0;0;94
1973;29;0;0;48;0;0;0;0;77
1974;36;0;0;58;0;0;0;0;94
1975;5;0;0;66;0;0;0;0;71
1976;0;0;0;76;0;0;0;0;76
1977;32;0;0;49;0;0;0;0;81
1978;24;0;0;46;0;0;0;0;70
1979;49;0;0;35;0;0;0;0;84
1980;0;0;0;31;0;0;0;0;31
1981;20;0;0;26;0;0;0;0;46
1982;25;0;0;27;0;0;0;0;52
1983;121;0;0;19;0;0;0;0;140
1984;0;0;0;26;0;0;0;0;26
1985;105;0;0;33;0;0;0;0;138
1986;0;0;63;49;0;0;0;0;112
1987;119;0;86;26;0;0;0;0;231
1988;0;0;62;36;0;0;0;0;98
1989;144;0;76;63;0;0;0;0;283
1990;72;0;75;56;0;0;0;0;203
1991;129;0;66;50;0;0;0;0;245
1992;79;0;49;49;0;0;0;0;177
1993;106;0;55;46;0;0;0;0;207
1994;164;0;58;42;0;0;0;0;264
1995;81;0;60;39;0;0;0;0;180
1996;147;0;43;44;0;0;0;0;234
1997;76;0;42;31;0;0;0;0;149
1998;109;0;35;23;0;0;0;0;167
1999;102;0;39;31;0;0;0;0;172
2000;104;0;33;38;0;0;0;0;175
2001;94;0;36;30;0;0;0;0;160
2002;72;0;40;31;0;0;0;0;143
2003;83;0;43;36;0;0;0;0;162
2004;105;0;46;26;0;0;0;0;177
2005;139;0;77;19;0;0;0;8;243
2006;151;0;52;26;0;0;0;5;234
2007;106;14;45;22;0;0;0;2;189
2008;162;6;38;23;0;0;0;6;235
2009;176;59;51;20;0;0;0;4;310
2010;142;10;29;23;0;0;0;0;204
2011;185;20;50;27;6;0;0;5;293
2012;196;29;55;37;15;0;0;15;347
2013;243;30;92;58;21;0;0;9;453
2014;408;28;70;32;21;0;0;0;559
2015;280;34;69;33;0;0;7;7;430
2016;614;48;65;33;14;6;20;0;800
2017;530;71;68;41;0;6;20;0;736
2018;670;57;78;36;0;9;11;6;867
2019;832;32;93;33;0;6;10;5;1011
2020;638;67;69;40;26;20;12;1;873
2021;154;68;122;47;13;15;5;7;431
2022;634;72;98;47;0;7;6;4;868
2023;220;76;97;67;7;8;9;1;485
2024;0;43;106;52;23;4;11;7;246
2025;0;49;144;155;5;6;3;4;366
2026;0;42;123;60;4;9;21;5;264
TOTAL;8823;855;2698;2559;155;96;135;101;15422
