journal;year;count
Index of DH Conferences;1964;28
Index of DH Conferences;1968;9
Index of DH Conferences;1969;15
Index of DH Conferences;1970;26
Index of DH Conferences;1972;33
Index of DH Conferences;1973;29
Index of DH Conferences;1974;36
Index of DH Conferences;1975;5
Index of DH Conferences;1977;32
Index of DH Conferences;1978;24
Index of DH Conferences;1979;49
Index of DH Conferences;1981;20
Index of DH Conferences;1982;25
Index of DH Conferences;1983;121
Index of DH Conferences;1985;105
Index of DH Conferences;1987;119
Index of DH Conferences;1989;144
Index of DH Conferences;1990;72
Index of DH Conferences;1991;129
Index of DH Conferences;1992;79
Index of DH Conferences;1993;106
Index of DH Conferences;1994;164
Index of DH Conferences;1995;81
Index of DH Conferences;1996;147
Index of DH Conferences;1997;76
Index of DH Conferences;1998;109
Index of DH Conferences;1999;102
Index of DH Conferences;2000;104
Index of DH Conferences;2001;94
Index of DH Conferences;2002;72
Index of DH Conferences;2003;83
Index of DH Conferences;2004;105
Index of DH Conferences;2005;139
Index of DH Conferences;2006;151
Index of DH Conferences;2007;106
Index of DH Conferences;2008;162
Index of DH Conferences;2009;176
Index of DH Conferences;2010;142
Index of DH Conferences;2011;185
Index of DH Conferences;2012;196
Index of DH Conferences;2013;243
Index of DH Conferences;2014;408
Index of DH Conferences;2015;280
Index of DH Conferences;2016;614
Index of DH Conferences;2017;530
Index of DH Conferences;2018;670
Index of DH Conferences;2019;832
Index of DH Conferences;2020;638
Index of DH Conferences;2021;154
Index of DH Conferences;2022;634
Index of DH Conferences;2023;220
Digital Humanities Quarterly;2007;14
Digital Humanities Quarterly;2008;6
Digital Humanities Quarterly;2009;59
Digital Humanities Quarterly;2010;10
Digital Humanities Quarterly;2011;20
Digital Humanities Quarterly;2012;29
Digital Humanities Quarterly;2013;30
Digital Humanities Quarterly;2014;28
Digital Humanities Quarterly;2015;34
Digital Humanities Quarterly;2016;48
Digital Humanities Quarterly;2017;71
Digital Humanities Quarterly;2018;57
Digital Humanities Quarterly;2019;32
Digital Humanities Quarterly;2020;67
Digital Humanities Quarterly;2021;68
Digital Humanities Quarterly;2022;72
Digital Humanities Quarterly;2023;76
Digital Humanities Quarterly;2024;43
Digital Humanities Quarterly;2025;49
Digital Humanities Quarterly;2026;42
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1986;63
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1987;86
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1988;62
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1989;76
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1990;75
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1991;66
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1992;49
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1993;55
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1994;58
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1995;60
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1996;43
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1997;42
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1998;35
Literary and Linguistic Computing / Digital Scholarship in the Humanities;1999;39
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2000;33
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2001;36
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2002;40
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2003;43
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2004;46
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2005;77
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2006;52
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2007;45
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2008;38
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2009;51
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2010;29
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2011;50
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2012;55
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2013;92
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2014;70
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2015;69
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2016;65
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2017;68
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2018;78
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2019;93
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2020;69
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2021;122
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2022;98
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2023;97
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2024;106
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2025;144
Literary and Linguistic Computing / Digital Scholarship in the Humanities;2026;123
Computers and the Humanities / Language Resources and Evaluation;1966;16
Computers and the Humanities / Language Resources and Evaluation;1967;50
Computers and the Humanities / Language Resources and Evaluation;1968;44
Computers and the Humanities / Language Resources and Evaluation;1969;57
Computers and the Humanities / Language Resources and Evaluation;1970;52
Computers and the Humanities / Language Resources and Evaluation;1971;62
Computers and the Humanities / Language Resources and Evaluation;1972;61
Computers and the Humanities / Language Resources and Evaluation;1973;48
Computers and the Humanities / Language Resources and Evaluation;1974;58
Computers and the Humanities / Language Resources and Evaluation;1975;66
Computers and the Humanities / Language Resources and Evaluation;1976;76
Computers and the Humanities / Language Resources and Evaluation;1977;49
Computers and the Humanities / Language Resources and Evaluation;1978;46
Computers and the Humanities / Language Resources and Evaluation;1979;35
Computers and the Humanities / Language Resources and Evaluation;1980;31
Computers and the Humanities / Language Resources and Evaluation;1981;26
Computers and the Humanities / Language Resources and Evaluation;1982;27
Computers and the Humanities / Language Resources and Evaluation;1983;19
Computers and the Humanities / Language Resources and Evaluation;1984;26
Computers and the Humanities / Language Resources and Evaluation;1985;33
Computers and the Humanities / Language Resources and Evaluation;1986;49
Computers and the Humanities / Language Resources and Evaluation;1987;26
Computers and the Humanities / Language Resources and Evaluation;1988;36
Computers and the Humanities / Language Resources and Evaluation;1989;63
Computers and the Humanities / Language Resources and Evaluation;1990;56
Computers and the Humanities / Language Resources and Evaluation;1991;50
Computers and the Humanities / Language Resources and Evaluation;1992;49
Computers and the Humanities / Language Resources and Evaluation;1993;46
Computers and the Humanities / Language Resources and Evaluation;1994;42
Computers and the Humanities / Language Resources and Evaluation;1995;39
Computers and the Humanities / Language Resources and Evaluation;1996;44
Computers and the Humanities / Language Resources and Evaluation;1997;31
Computers and the Humanities / Language Resources and Evaluation;1998;23
Computers and the Humanities / Language Resources and Evaluation;1999;31
Computers and the Humanities / Language Resources and Evaluation;2000;38
Computers and the Humanities / Language Resources and Evaluation;2001;30
Computers and the Humanities / Language Resources and Evaluation;2002;31
Computers and the Humanities / Language Resources and Evaluation;2003;36
Computers and the Humanities / Language Resources and Evaluation;2004;26
Computers and the Humanities / Language Resources and Evaluation;2005;19
Computers and the Humanities / Language Resources and Evaluation;2006;26
Computers and the Humanities / Language Resources and Evaluation;2007;22
Computers and the Humanities / Language Resources and Evaluation;2008;23
Computers and the Humanities / Language Resources and Evaluation;2009;20
Computers and the Humanities / Language Resources and Evaluation;2010;23
Computers and the Humanities / Language Resources and Evaluation;2011;27
Computers and the Humanities / Language Resources and Evaluation;2012;37
Computers and the Humanities / Language Resources and Evaluation;2013;58
Computers and the Humanities / Language Resources and Evaluation;2014;32
Computers and the Humanities / Language Resources and Evaluation;2015;33
Computers and the Humanities / Language Resources and Evaluation;2016;33
Computers and the Humanities / Language Resources and Evaluation;2017;41
Computers and the Humanities / Language Resources and Evaluation;2018;36
Computers and the Humanities / Language Resources and Evaluation;2019;33
Computers and the Humanities / Language Resources and Evaluation;2020;40
Computers and the Humanities / Language Resources and Evaluation;2021;47
Computers and the Humanities / Language Resources and Evaluation;2022;47
Computers and the Humanities / Language Resources and Evaluation;2023;67
Computers and the Humanities / Language Resources and Evaluation;2024;52
Computers and the Humanities / Language Resources and Evaluation;2025;155
Computers and the Humanities / Language Resources and Evaluation;2026;60
Journal of the Text Encoding Initiative;2011;6
Journal of the Text Encoding Initiative;2012;15
Journal of the Text Encoding Initiative;2013;21
Journal of the Text Encoding Initiative;2014;21
Journal of the Text Encoding Initiative;2016;14
Journal of the Text Encoding Initiative;2020;26
Journal of the Text Encoding Initiative;2021;13
Journal of the Text Encoding Initiative;2023;7
Journal of the Text Encoding Initiative;2024;23
Journal of the Text Encoding Initiative;2025;5
Journal of the Text Encoding Initiative;2026;4
Journal of Cultural Analytics;2016;6
Journal of Cultural Analytics;2017;6
Journal of Cultural Analytics;2018;9
Journal of Cultural Analytics;2019;6
Journal of Cultural Analytics;2020;20
Journal of Cultural Analytics;2021;15
Journal of Cultural Analytics;2022;7
Journal of Cultural Analytics;2023;8
Journal of Cultural Analytics;2024;4
Journal of Cultural Analytics;2025;6
Journal of Cultural Analytics;2026;9
Digital Classics Online;2015;7
Digital Classics Online;2016;20
Digital Classics Online;2017;20
Digital Classics Online;2018;11
Digital Classics Online;2019;10
Digital Classics Online;2020;12
Digital Classics Online;2021;5
Digital Classics Online;2022;6
Digital Classics Online;2023;9
Digital Classics Online;2024;11
Digital Classics Online;2025;3
Digital Classics Online;2026;21
Digital Medievalist;2005;8
Digital Medievalist;2006;5
Digital Medievalist;2007;2
Digital Medievalist;2008;6
Digital Medievalist;2009;4
Digital Medievalist;2011;5
Digital Medievalist;2012;15
Digital Medievalist;2013;9
Digital Medievalist;2015;7
Digital Medievalist;2018;6
Digital Medievalist;2019;5
Digital Medievalist;2020;1
Digital Medievalist;2021;7
Digital Medievalist;2022;4
Digital Medievalist;2023;1
Digital Medievalist;2024;7
Digital Medievalist;2025;4
