metric,year,word,related_word,source,value
sources_count,,,,,6
year_range_min,,,,,1981
year_range_max,,,,,2026
textile_metaphor_texts_total,,,,,169
articles_surveyed_total,,,,,15422
textile_metaphor_rate_pct,,,,,1.17
source_text_count,,,,Digital Humanities Quarterly,50
source_text_count,,,,Index of DH Conferences,50
source_text_count,,,,Literary and Linguistic Computing/Digital Scholarship in the Humanities,39
source_text_count,,,,Computers and Translation/Computers and the Humanities/Machine Translation/Language Resources and Evaluation,18
source_text_count,,,,Journal of the Text Encoding Initiative,6
source_text_count,,,,Journal of Cultural Analytics,6
source_year_min,,,,Journal of the Text Encoding Initiative,2012
source_year_max,,,,Journal of the Text Encoding Initiative,2025
source_year_min,,,,Digital Humanities Quarterly,2009
source_year_max,,,,Digital Humanities Quarterly,2026
source_year_min,,,,Journal of Cultural Analytics,2022
source_year_max,,,,Journal of Cultural Analytics,2025
source_year_min,,,,Index of DH Conferences,1998
source_year_max,,,,Index of DH Conferences,2022
source_year_min,,,,Computers and Translation/Computers and the Humanities/Machine Translation/Language Resources and Evaluation,1981
source_year_max,,,,Computers and Translation/Computers and the Humanities/Machine Translation/Language Resources and Evaluation,2026
source_year_min,,,,Literary and Linguistic Computing/Digital Scholarship in the Humanities,1987
source_year_max,,,,Literary and Linguistic Computing/Digital Scholarship in the Humanities,2026
year_texts,1981,,,,1
year_all_articles,1981,,,,46
year_texts,1982,,,,0
year_all_articles,1982,,,,52
year_texts,1983,,,,0
year_all_articles,1983,,,,140
year_texts,1984,,,,0
year_all_articles,1984,,,,26
year_texts,1985,,,,0
year_all_articles,1985,,,,138
year_texts,1986,,,,0
year_all_articles,1986,,,,112
year_texts,1987,,,,1
year_all_articles,1987,,,,231
year_texts,1988,,,,1
year_all_articles,1988,,,,98
year_texts,1989,,,,0
year_all_articles,1989,,,,283
year_texts,1990,,,,3
year_all_articles,1990,,,,203
year_texts,1991,,,,0
year_all_articles,1991,,,,245
year_texts,1992,,,,0
year_all_articles,1992,,,,177
year_texts,1993,,,,2
year_all_articles,1993,,,,207
year_texts,1994,,,,2
year_all_articles,1994,,,,264
year_texts,1995,,,,1
year_all_articles,1995,,,,180
year_texts,1996,,,,1
year_all_articles,1996,,,,234
year_texts,1997,,,,1
year_all_articles,1997,,,,149
year_texts,1998,,,,1
year_all_articles,1998,,,,167
year_texts,1999,,,,3
year_all_articles,1999,,,,172
year_texts,2000,,,,2
year_all_articles,2000,,,,175
year_texts,2001,,,,1
year_all_articles,2001,,,,160
year_texts,2002,,,,3
year_all_articles,2002,,,,143
year_texts,2003,,,,2
year_all_articles,2003,,,,162
year_texts,2004,,,,0
year_all_articles,2004,,,,177
year_texts,2005,,,,2
year_all_articles,2005,,,,243
year_texts,2006,,,,0
year_all_articles,2006,,,,234
year_texts,2007,,,,3
year_all_articles,2007,,,,189
year_texts,2008,,,,0
year_all_articles,2008,,,,235
year_texts,2009,,,,6
year_all_articles,2009,,,,310
year_texts,2010,,,,3
year_all_articles,2010,,,,204
year_texts,2011,,,,3
year_all_articles,2011,,,,293
year_texts,2012,,,,4
year_all_articles,2012,,,,347
year_texts,2013,,,,8
year_all_articles,2013,,,,453
year_texts,2014,,,,9
year_all_articles,2014,,,,559
year_texts,2015,,,,10
year_all_articles,2015,,,,430
year_texts,2016,,,,8
year_all_articles,2016,,,,800
year_texts,2017,,,,10
year_all_articles,2017,,,,736
year_texts,2018,,,,7
year_all_articles,2018,,,,867
